Hinsdale,1,,,272,Colorado
Huerfano,1,,,273,Colorado
Jackson,1,,,274,Colorado
Jefferson,1,,,275,Colorado
Kiowa,1,,,276,Colorado
Kit Carson,1,,,277,Colorado
Lake,1,,,278,Colorado
La Plata,1,,,279,Colorado
Larimer,1,,,280,Colorado
Las Animas,1,,,281,Colorado
Lincoln,1,,,282,Colorado
Logan,1,,,283,Colorado
Mesa,1,,,284,Colorado
Mineral,1,,,285,Colorado
Moffat,1,,,286,Colorado
Montezuma,1,,,287,Colorado
Montrose,1,,,288,Colorado
Morgan,1,,,289,Colorado
Otero,1,,,290,Colorado
Ouray,1,,,291,Colorado
Park,1,,,292,Colorado
Phillips,1,,,293,Colorado
Pitkin,1,,,294,Colorado
Prowers,1,,,295,Colorado
Pueblo,1,,,296,Colorado
Rio Blanco,1,,,297,Colorado
Rio Grande,1,,,298,Colorado
Routt,1,,,299,Colorado
Saguache,1,,,300,Colorado
San Juan,1,,,301,Colorado
San Miguel,1,,,302,Colorado
Sedgwick,1,,,303,Colorado
Summit,1,,,304,Colorado
Teller,1,,,305,Colorado
Washington,1,,,306,Colorado
Weld,1,,,307,Colorado
Yuma,1,,,308,Colorado
Fairfield,1,,,309,Connecticut
Hartford,1,,,310,Connecticut
Litchfield,1,,,311,Connecticut
Middlesex,1,,,312,Connecticut
New Haven,1,,,313,Connecticut
New London,1,,,314,Connecticut
Tolland,1,,,315,Connecticut
Windham,1,,,316,Connecticut
Kent,1,,,317,Delaware
New Castle,1,,,318,Delaware
Sussex,1,,,319,Delaware
District of Columbia,1,,,320,District of Columbia
Alachua,1,,,321,Florida
Baker,1,,,322,Florida
Bay,1,,,323,Florida
Bradford,1,,,324,Florida
Brevard,1,,,325,Florida
Broward,1,,,326,Florida
Calhoun,1,,,327,Florida
Charlotte,1,,,328,Florida
Citrus,1,,,329,Florida
Clay,1,,,330,Florida
Collier,1,,,331,Florida
Columbia,1,,,332,Florida
DeSoto,1,,,333,Florida
Dixie,1,,,334,Florida
Duval,1,,,335,Florida
Escambia,1,,,336,Florida
Flagler,1,,,337,Florida
Franklin,1,,,338,Florida
Gadsden,1,,,339,Florida
Gilchrist,1,,,340,Florida
Glades,1,,,341,Florida
Gulf,1,,,342,Florida
Hamilton,1,,,343,Florida
Hardee,1,,,344,Florida
Hendry,1,,,345,Florida
Hernando,1,,,346,Florida
Highlands,1,,,347,Florida
Hillsborough,1,,,348,Florida
Holmes,1,,,349,Florida
Indian River,1,,,350,Florida
Jackson,1,,,351,Florida
Jefferson,1,,,352,Florida
Lafayette,1,,,353,Florida
Lake,1,,,354,Florida
Lee,1,,,355,Florida
Leon,1,,,356,Florida
Levy,1,,,357,Florida
Liberty,1,,,358,Florida
Madison,1,,,359,Florida
Manatee,1,,,360,Florida
Marion,1,,,361,Florida
Martin,1,,,362,Florida
Miami-Dade,1,,,363,Florida
Monroe,1,,,364,Florida
Nassau,1,,,365,Florida
Okaloosa,1,,,366,Florida
Okeechobee,1,,,367,Florida
Orange,1,,,368,Florida
Osceola,1,,,369,Florida
Palm Beach,1,,,370,Florida
Pasco,1,,,371,Florida
Pinellas,1,,,372,Florida
Polk,1,,,373,Florida
Putnam,1,,,374,Florida
St. Johns,1,,,375,Florida
St. Lucie,1,,,376,Florida
Santa Rosa,1,,,377,Florida
Sarasota,1,,,378,Florida
Seminole,1,,,379,Florida
Sumter,1,,,380,Florida
Suwannee,1,,,381,Florida
Taylor,1,,,382,Florida
Union,1,,,383,Florida
Volusia,1,,,384,Florida
Wakulla,1,,,385,Florida
Walton,1,,,386,Florida
Washington,1,,,387,Florida
Appling,1,,,388,Georgia
Atkinson,1,,,389,Georgia
Bacon,1,,,390,Georgia
Baker,1,,,391,Georgia
Baldwin,1,,,392,Georgia
Banks,1,,,393,Georgia
